Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021
IDA only,IDX,Population. total,SP.POP.TOTL,,,,
IDA total,IDA,Population. total,SP.POP.TOTL,,,,
India,IND,Population. total,SP.POP.TOTL,62.8,64.2,65.30,60.1
Indonesia,IDN,Population. total,SP.POP.TOTL,59.1,61.1,61.92,66.3
Iran. Islamic Rep.,IRN,Population. total,SP.POP.TOTL,53.7,60.8,63.14,70.0
Iraq,IRQ,Population. total,SP.POP.TOTL,77.5,78.2,79.38,63.8
Ireland,IRL,Population. total,SP.POP.TOTL,65.5,70.5,71.81,81.0
Isle of Man,IMN,Population. total,SP.POP.TOTL,,,,
Israel,ISR,Population. total,SP.POP.TOTL,74.2,75.8,77.01,75.0
Italy,ITA,Population. total,SP.POP.TOTL,65.9,68.8,68.66,78.8
Jamaica,JAM,Population. total,SP.POP.TOTL,78.5,78.9,79.17,69.0
Japan,JPN,Population. total,SP.POP.TOTL,68.1,68.7,71.06,79.8
Jordan,JOR,Population. total,SP.POP.TOTL,64.4,68.1,68.05,70.1
Kazakhstan,KAZ,Population. total,SP.POP.TOTL,56.8,57.0,60.17,71.6
Kenya,KEN,Population. total,SP.POP.TOTL,,,,60.6
Kiribati,KIR,Population. total,SP.POP.TOTL,61.1,63.5,63.14,
Korea. Dem. People’s Rep.,PRK,Population. total,SP.POP.TOTL,68.9,72.7,74.78,
Korea. Rep.,KOR,Population. total,SP.POP.TOTL,60.6,62.0,62.06,78.6
Kosovo,XKX,Population. total,SP.POP.TOTL,,,,
Kuwait,KWT,Population. total,SP.POP.TOTL,74.7,77.1,77.73,62.5
Kyrgyz Republic,KGZ,Population. total,SP.POP.TOTL,,,,74.0
Lao PDR,LAO,Population. total,SP.POP.TOTL,64.8,65.7,66.68,63.0
Late-demographic dividend,LTE,Population. total,SP.POP.TOTL,,,,
Latin America & Caribbean,LCN,Population. total,SP.POP.TOTL,,,,
Latin America & Caribbean (excluding high income),LAC,Population. total,SP.POP.TOTL,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population. total,SP.POP.TOTL,,,,
Latvia,LVA,Population. total,SP.POP.TOTL,,72.1,67.59,79.2
Least developed countries: UN classification,LDC,Population. total,SP.POP.TOTL,,,,
Lebanon,LBN,Population. total,SP.POP.TOTL,51.5,50.9,54.00,66.8
Lesotho,LSO,Population. total,SP.POP.TOTL,45.6,46.7,49.14,54.6
Liberia,LBR,Population. total,SP.POP.TOTL,48.3,48.2,47.12,48.6
Libya,LBY,Population. total,SP.POP.TOTL,,,,
Liechtenstein,LIE,Population. total,SP.POP.TOTL,72.9,75.1,74.95,
Lithuania,LTU,Population. total,SP.POP.TOTL,50.0,51.4,52.20,76.7
Low & middle income,LMY,Population. total,SP.POP.TOTL,,,,
Low income,LIC,Population. total,SP.POP.TOTL,,,,
Lower middle income,LMC,Population. total,SP.POP.TOTL,,,,
Luxembourg,LUX,Population. total,SP.POP.TOTL,70.0,69.6,71.76,74.2
Macao SAR. China,MAC,Population. total,SP.POP.TOTL,,,,
Macedonia. FYR,MKD,Population. total,SP.POP.TOTL,74.5,74.4,74.44,72.5
Madagascar,MDG,Population. total,SP.POP.TOTL,51.6,53.3,57.72,49.0
Malawi,MWI,Population. total,SP.POP.TOTL,62.8,63.9,65.93,51.4
Malaysia,MYS,Population. total,SP.POP.TOTL,79.5,80.4,80.37,70.9
Maldives,MDV,Population. total,SP.POP.TOTL,64.5,63.6,63.77,69.3
Mali,MLI,Population. total,SP.POP.TOTL,,,,52.2
Malta,MLT,Population. total,SP.POP.TOTL,63.9,64.7,63.98,75.7
Marshall Islands,MHL,Population. total,SP.POP.TOTL,,,,
Mauritania,MRT,Population. total,SP.POP.TOTL,58.9,59.9,61.63,55.5
Mauritius,MUS,Population. total,SP.POP.TOTL,,,,66.7
Mexico,MEX,Population. total,SP.POP.TOTL,65.2,68.5,70.44,69.1
Micronesia. Fed. Sts.,FSM,Population. total,SP.POP.TOTL,69.0,82.8,83.77,
Middle East & North Africa,MEA,Population. total,SP.POP.TOTL,,,,
Middle East & North Africa (excluding high income),MNA,Population. total,SP.POP.TOTL,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,Population. total,SP.POP.TOTL,,,,
Middle income,MIC,Population. total,SP.POP.TOTL,,,,
Moldova,MDA,Population. total,SP.POP.TOTL,,,,73.7
Monaco,MCO,Population. total,SP.POP.TOTL,74.2,76.1,75.97,
Mongolia,MNG,Population. total,SP.POP.TOTL,50.7,53.0,54.13,63.8
Montenegro,MNE,Population. total,SP.POP.TOTL,66.3,69.1,71.29,68.2
Morocco,MAR,Population. total,SP.POP.TOTL,49.7,50.2,51.39,70.5
Mozambique,MOZ,Population. total,SP.POP.TOTL,59.0,62.2,64.58,51.1
Myanmar,MMR,Population. total,SP.POP.TOTL,67.6,67.3,70.19,64.9
Namibia,NAM,Population. total,SP.POP.TOTL,77.9,79.5,79.20,61.8
Nauru,NRU,Population. total,SP.POP.TOTL,,55.6,56.17,
Nepal,NPL,Population. total,SP.POP.TOTL,54.9,67.9,69.67,66.5
Netherlands,NLD,Population. total,SP.POP.TOTL,81.2,69.4,71.40,81.6
New Caledonia,NCL,Population. total,SP.POP.TOTL,,,,
New Zealand,NZL,Population. total,SP.POP.TOTL,64.9,,,79.1
Nicaragua,NIC,Population. total,SP.POP.TOTL,47.5,46.4,49.28,66.3
Niger,NER,Population. total,SP.POP.TOTL,66.4,67.9,68.66,49.5
Nigeria,NGA,Population. total,SP.POP.TOTL,48.5,49.4,50.15,48.9
North America,NAC,Population. total,SP.POP.TOTL,,,,
Northern Mariana Islands,MNP,Population. total,SP.POP.TOTL,,,,
Norway,NOR,Population. total,SP.POP.TOTL,63.9,80.7,80.76,82.0
Not classified,INX,Population. total,SP.POP.TOTL,,,,
OECD members,OED,Population. total,SP.POP.TOTL,,,,
Oman,OMN,Population. total,SP.POP.TOTL,,66.3,69.19,70.1
Other small states,OSS,Population. total,SP.POP.TOTL,,,,
Pacific island small states,PSS,Population. total,SP.POP.TOTL,,,,
Pakistan,PAK,Population. total,SP.POP.TOTL,67.2,51.6,51.66,57.7
Palau,PLW,Population. total,SP.POP.TOTL,74.0,75.9,78.10,
Panama,PAN,Population. total,SP.POP.TOTL,68.4,67.5,67.71,68.0
Papua New Guinea,PNG,Population. total,SP.POP.TOTL,60.8,76.4,77.65,51.3
Paraguay,PRY,Population. total,SP.POP.TOTL,,56.0,56.56,66.9
Peru,PER,Population. total,SP.POP.TOTL,65.0,71.2,71.75,71.1
Philippines,PHL,Population. total,SP.POP.TOTL,73.7,64.9,65.50,64.5
Poland,POL,Population. total,SP.POP.TOTL,71.2,66.3,64.65,80.2
Portugal,PRT,Population. total,SP.POP.TOTL,56.1,70.9,71.92,78.6
Post-demographic dividend,PST,Population. total,SP.POP.TOTL,,,,
Pre-demographic dividend,PRE,Population. total,SP.POP.TOTL,,,,
Puerto Rico,PRI,Population. total,SP.POP.TOTL,,,,
Qatar,QAT,Population. total,SP.POP.TOTL,,,,66.7
Romania,ROU,Population. total,SP.POP.TOTL,,,,75.0
Russian Federation,RUS,Population. total,SP.POP.TOTL,62.9,65.5,62.57,73.8
Rwanda,RWA,Population. total,SP.POP.TOTL,57.2,64.8,65.85,57.6
Samoa,WSM,Population. total,SP.POP.TOTL,64.0,63.1,61.68,
San Marino,SMR,Population. total,SP.POP.TOTL,,,,
Sao Tome and Principe,STP,Population. total,SP.POP.TOTL,64.6,77.8,78.11,58.8
Saudi Arabia,SAU,Population. total,SP.POP.TOTL,72.1,57.3,58.27,66.3
Senegal,SEN,Population. total,SP.POP.TOTL,49.1,,,58.4
Serbia,SRB,Population. total,SP.POP.TOTL,,61.5,63.41,75.6
Seychelles,SYC,Population. total,SP.POP.TOTL,50.7,67.0,68.36,
Sierra Leone,SLE,Population. total,SP.POP.TOTL,80.0,76.2,77.51,51.7
Singapore,SGP,Population. total,SP.POP.TOTL,71.3,49.2,51.91,69.9
Sint Maarten (Dutch part),SXM,Population. total,SP.POP.TOTL,,,,
Slovak Republic,SVK,Population. total,SP.POP.TOTL,,,,79.6
Slovenia,SVN,Population. total,SP.POP.TOTL,,,,81.6
Small states,SST,Population. total,SP.POP.TOTL,,,,
Solomon Islands,SLB,Population. total,SP.POP.TOTL,75.6,69.6,67.00,
Somalia,SOM,Population. total,SP.POP.TOTL,60.8,,46.21,45.6
South Africa,ZAF,Population. total,SP.POP.TOTL,45.7,53.7,52.33,63.7
South Asia,SAS,Population. total,SP.POP.TOTL,,,,
South Asia (IDA & IBRD),TSA,Population. total,SP.POP.TOTL,,,,
South Sudan,SSD,Population. total,SP.POP.TOTL,75.4,,43.66,38.9
Spain,ESP,Population. total,SP.POP.TOTL,,,,79.5
Sri Lanka,LKA,Population. total,SP.POP.TOTL,76.1,74.8,74.31,68.1
St. Kitts and Nevis,KNA,Population. total,SP.POP.TOTL,70.3,71.6,73.01,
St. Lucia,LCA,Population. total,SP.POP.TOTL,,,,
St. Martin (French part),MAF,Population. total,SP.POP.TOTL,,,,
St. Vincent and the Grenadines,VCT,Population. total,SP.POP.TOTL,73.0,74.5,76.43,
Sub-Saharan Africa,SSF,Population. total,SP.POP.TOTL,,,,
Sub-Saharan Africa (excluding high income),SSA,Population. total,SP.POP.TOTL,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population. total,SP.POP.TOTL,,,,
Sudan,SDN,Population. total,SP.POP.TOTL,,72.5,75.23,49.5
Suriname,SUR,Population. total,SP.POP.TOTL,,65.8,66.88,67.0
Swaziland,SWZ,Population. total,SP.POP.TOTL,68.0,51.4,49.56,53.3
Sweden,SWE,Population. total,SP.POP.TOTL,49.6,,,85.6
Switzerland,CHE,Population. total,SP.POP.TOTL,55.8,56.0,56.54,80.1
Syrian Arab Republic,SYR,Population. total,SP.POP.TOTL,85.0,85.0,84.72,58.0
Tajikistan,TJK,Population. total,SP.POP.TOTL,55.1,55.8,56.64,69.8
Tanzania,TZA,Population. total,SP.POP.TOTL,59.5,64.3,63.03,56.4
Thailand,THA,Population. total,SP.POP.TOTL,67.2,69.2,69.43,74.2
Timor-Leste,TLS,Population. total,SP.POP.TOTL,,,,
Togo,TGO,Population. total,SP.POP.TOTL,55.0,58.1,59.33,53.2
Tonga,TON,Population. total,SP.POP.TOTL,52.0,51.6,52.70,
Trinidad and Tobago,TTO,Population. total,SP.POP.TOTL,,,,63.5
Tunisia,TUN,Population. total,SP.POP.TOTL,67.5,67.6,65.76,71.4
Turkey,TUR,Population. total,SP.POP.TOTL,66.2,70.0,71.37,70.4
Turkmenistan,TKM,Population. total,SP.POP.TOTL,69.2,73.0,74.54,61.1
Turks and Caicos Islands,TCA,Population. total,SP.POP.TOTL,,,,
Tuvalu,TUV,Population. total,SP.POP.TOTL,66.0,68.5,70.30,
Uganda,UGA,Population. total,SP.POP.TOTL,,,,53.5
Ukraine,UKR,Population. total,SP.POP.TOTL,54.9,52.6,53.49,75.5
United Arab Emirates,ARE,Population. total,SP.POP.TOTL,49.6,51.3,52.59,70.2
United Kingdom,GBR,Population. total,SP.POP.TOTL,62.8,64.8,63.40,80.0
United States,USA,Population. total,SP.POP.TOTL,69.2,69.7,70.30,76.0
Upper middle income,UMC,Population. total,SP.POP.TOTL,,,,
Uruguay,URY,Population. total,SP.POP.TOTL,72.3,72.8,74.24,74.5
Uzbekistan,UZB,Population. total,SP.POP.TOTL,78.7,79.4,79.79,69.8
Vanuatu,VUT,Population. total,SP.POP.TOTL,,59.9,60.89,60.5
Venezuela. RB,VEN,Population. total,SP.POP.TOTL,70.4,72.6,74.28,59.3
Vietnam,VNM,Population. total,SP.POP.TOTL,70.3,71.1,71.02,72.8
Virgin Islands (U.S.),VIR,Population. total,SP.POP.TOTL,,,,
West Bank and Gaza,PSE,Population. total,SP.POP.TOTL,,,,
World,WLD,Population. total,SP.POP.TOTL,,,,
Yemen. Rep.,YEM,Population. total,SP.POP.TOTL,69.7,71.1,73.80,52.9
Zambia,ZMB,Population. total,SP.POP.TOTL,53.1,52.6,52.67,53.4
Zimbabwe,ZWE,Population. total,SP.POP.TOTL,58.8,59.7,59.51,58.7
