id,Country,2021 SDG Index Score,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR,Population in 2020 
PNG,Papua New Guinea,51.3,151,0.00,98.2,50.1,Oceania,8947027 
POL,Poland,80.2,15,0.00,83.6,77.2,OECD,37846605 
PRK,"Korea, Dem. Rep.",,,0.00,,65.7,East & South Asia,25778815 
PRT,Portugal,78.6,27,0.00,69.9,77.2,OECD,10196707 
PRY,Paraguay,66.9,92,0.00,93.7,68.6,LAC,7132530 
QAT,Qatar,66.7,94,0.00,73.0,67.1,MENA,2881060 
ROU,Romania,75.0,39,0.00,84.0,71.4,E. Europe & C. Asia,19237682 
RUS,Russian Federation,73.8,46,0.00,80.5,71.4,E. Europe & C. Asia,145934460 
RWA,Rwanda,57.6,130,0.00,98.9,51.9,Africa,12952209 
SAU,Saudi Arabia,66.3,98,0.00,71.1,67.1,MENA,34813867 
SDN,Sudan,49.5,157,0.00,100.0,51.9,Africa,43849269 
SEN,Senegal,58.4,126,0.00,99.1,51.9,Africa,16743930 
SGP,Singapore,69.9,76,0.00,20.6,65.7,East & South Asia,5850343 
SLB,Solomon Islands,,,0.00,,50.1,Oceania,686878 
SLE,Sierra Leone,51.7,148,0.00,99.5,51.9,Africa,7976985 
SLV,El Salvador,67.9,89,0.00,90.8,68.6,LAC,6486201 
SMR,San Marino,,,0.00,,71.4,E. Europe & C. Asia,33938 
SOM,Somalia,45.6,162,0.00,100.0,51.9,Africa,15893219 
SRB,Serbia,75.6,34,0.00,82.6,71.4,E. Europe & C. Asia,8737370 
SSD,South Sudan,38.9,164,0.00,99.9,51.9,Africa,11193729 
STP,Sao Tome and Principe,58.8,124,0.00,95.6,51.9,Africa,219161 
SUR,Suriname,67.0,91,0.00,90.6,68.6,LAC,586634 
SVK,Slovak Republic,79.6,19,0.00,75.0,77.2,OECD,5459643 
SVN,Slovenia,81.6,9,0.00,60.8,77.2,OECD,2078932 
SWE,Sweden,85.6,2,0.00,67.1,77.2,OECD,10099270 
SWZ,Eswatini,53.3,142,0.00,84.8,51.9,Africa,1160164 
SYC,Seychelles,,,0.00,,51.9,Africa,98340 
SYR,Syrian Arab Republic,58.0,127,0.00,98.3,67.1,MENA,17500657 
TCD,Chad,40.9,163,0.00,99.8,51.9,Africa,16425859 
TGO,Togo,53.2,143,0.00,99.1,51.9,Africa,8278737 
THA,Thailand,74.2,43,0.00,88.7,65.7,East & South Asia,69799978 
TJK,Tajikistan,69.8,78,0.00,97.5,71.4,E. Europe & C. Asia,9537642 
TKM,Turkmenistan,61.1,117,0.00,90.5,71.4,E. Europe & C. Asia,6031187 
TLS,Timor-Leste,,,0.00,,65.7,East & South Asia,1318442 
TON,Tonga,,,0.00,,50.1,Oceania,105697 
TTO,Trinidad and Tobago,63.5,108,0.00,88.1,68.6,LAC,1399491 
TUN,Tunisia,71.4,60,0.00,94.2,67.1,MENA,11818618 
TUR,Turkey,70.4,70,0.00,93.7,77.2,OECD,84339067 
TUV,Tuvalu,,,0.00,,50.1,Oceania,11792 
TZA,Tanzania,56.4,132,0.00,98.5,51.9,Africa,59734213 
UGA,Uganda,53.5,140,0.00,99.2,51.9,Africa,45741000 
UKR,Ukraine,75.5,36,0.00,94.0,71.4,E. Europe & C. Asia,43733759 
URY,Uruguay,74.5,41,0.00,91.0,68.6,LAC,3473727 
USA,United States,76.0,32,0.00,62.1,77.2,OECD,331002647 
UZB,Uzbekistan,69.8,77,0.00,98.1,71.4,E. Europe & C. Asia,33469199 
VCT,St. Vincent and the Grenadines,,,0.00,,68.6,LAC,110947 
VEN,"Venezuela, RB",59.3,122,0.00,96.4,68.6,LAC,28435943 
VNM,Vietnam,72.8,51,0.00,96.4,65.7,East & South Asia,97338583 
VUT,Vanuatu,60.5,119,0.00,94.5,50.1,Oceania,307150 
WSM,Samoa,,,0.00,,50.1,Oceania,198410 
YEM,"Yemen, Rep.",52.9,145,0.00,99.0,67.1,MENA,29825968 
ZAF,South Africa,63.7,107,0.00,88.6,51.9,Africa,59308690 
ZMB,Zambia,53.4,141,0.00,98.3,51.9,Africa,18383956 
ZWE,Zimbabwe,58.7,125,0.00,98.1,51.9,Africa,14862927 
