CountryCode,Country,SDGIndexScore,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR, Population in 2020 ,2021,2020,2019,2018,
ECU,Ecuador,72.5,53,#REF!,97.1,68.6,LAC,17643060 ,72.5,74.26,72.3,70.8,
ARG,Argentina,72.8,52,#REF!,94.5,68.6,LAC,45195777 ,72.8,,,,
VNM,Vietnam,72.8,51,0.00,96.4,65.7,East & South Asia,97338583 ,72.8,71.02,71.1,70.3,
CRI,Costa Rica,73.6,50,#REF!,83.3,68.6,LAC,5094114 ,73.6,75.08,75.0,73.2,
CUB,Cuba,73.7,49,#REF!,97.1,68.6,LAC,11326616 ,73.7,57.91,55.7,55.2,
MDA,Moldova,73.7,48,#REF!,99.7,71.4,E. Europe & C. Asia,4033963 ,73.7,,,,
BIH,Bosnia and Herzegovina,73.7,47,#REF!,95.8,71.4,E. Europe & C. Asia,3280815 ,73.7,69.27,67.6,65.4,
RUS,Russian Federation,73.8,46,#REF!,80.5,71.4,E. Europe & C. Asia,145934460 ,73.8,62.57,65.5,62.9,
BGR,Bulgaria,73.8,45,#REF!,86.9,71.4,E. Europe & C. Asia,6948445 ,73.8,79.96,78.9,79.0,
KGZ,Kyrgyz Republic,74.0,44,#REF!,96.0,71.4,E. Europe & C. Asia,6524191 ,74.0,,,,
THA,Thailand,74.2,43,0.00,88.7,65.7,East & South Asia,69799978 ,74.2,69.43,69.2,67.2,
LUX,Luxembourg,74.2,42,#REF!,31.0,77.2,OECD,625976 ,74.2,71.76,69.6,70.0,
URY,Uruguay,74.5,41,0.00,91.0,68.6,LAC,3473727 ,74.5,74.24,72.8,72.3,
CYP,Cyprus,74.9,40,#REF!,63.8,71.4,E. Europe & C. Asia,1207361 ,74.9,78.40,77.8,76.5,
ROU,Romania,75.0,39,#REF!,84.0,71.4,E. Europe & C. Asia,19237682 ,75.0,,,,
ISR,Israel,75.0,38,#REF!,69.6,77.2,OECD,8655541 ,75.0,77.01,75.8,74.2,
GRC,Greece,75.4,37,#REF!,72.3,77.2,OECD,10423056 ,75.4,61.54,59.6,58.2,
UKR,Ukraine,75.5,36,0.00,94.0,71.4,E. Europe & C. Asia,43733759 ,75.5,53.49,52.6,54.9,
AUS,Australia,75.6,35,#REF!,63.9,77.2,OECD,25499881 ,75.6,74.87,73.9,72.9,
SRB,Serbia,75.6,34,#REF!,82.6,71.4,E. Europe & C. Asia,8737370 ,75.6,63.41,61.5,,
MLT,Malta,75.7,33,#REF!,61.4,71.4,E. Europe & C. Asia,441539 ,75.7,63.98,64.7,63.9,
USA,United States,76.0,32,0.00,62.1,77.2,OECD,331002647 ,76.0,70.30,69.7,69.2,
LTU,Lithuania,76.7,31,#REF!,68.4,77.2,OECD,2722291 ,76.7,52.20,51.4,50.0,
CHL,Chile,77.1,30,#REF!,93.2,77.2,OECD,19116209 ,77.1,78.19,77.9,76.8,
ISL,Iceland,78.2,29,#REF!,60.3,77.2,OECD,341250 ,78.2,74.60,71.5,71.8,
KOR,Korea. Rep.,78.6,28,#REF!,71.6,77.2,OECD,51269183 ,78.6,62.06,62.0,60.6,
PRT,Portugal,78.6,27,#REF!,69.9,77.2,OECD,10196707 ,78.6,71.92,70.9,56.1,
ITA,Italy,78.8,26,#REF!,71.2,77.2,OECD,60461828 ,78.8,68.66,68.8,65.9,
HUN,Hungary,78.8,25,#REF!,80.0,77.2,OECD,9660350 ,78.8,77.52,79.2,79.7,
BLR,Belarus,78.8,24,#REF!,96.7,71.4,E. Europe & C. Asia,9449321 ,78.8,69.27,68.4,68.1,
NZL,New Zealand,79.1,23,#REF!,70.8,77.2,OECD,4822233 ,79.1,,,64.9,
LVA,Latvia,79.2,22,#REF!,72.1,77.2,OECD,1886202 ,79.2,67.59,72.1,,
CAN,Canada,79.2,21,#REF!,64.1,77.2,OECD,37742157 ,79.2,64.39,61.8,60.4,
ESP,Spain,79.5,20,#REF!,64.8,77.2,OECD,46754783 ,79.5,,,,
SVK,Slovak Republic,79.6,19,0.00,75.0,77.2,OECD,5459643 ,79.6,,,,
JPN,Japan,79.8,18,#REF!,68.8,77.2,OECD,126476458 ,79.8,71.06,68.7,68.1,
GBR,United Kingdom,80.0,17,#REF!,54.1,77.2,OECD,67886004 ,80.0,63.40,64.8,62.8,
CHE,Switzerland,80.1,16,#REF!,41.7,77.2,OECD,8654618 ,80.1,56.54,56.0,55.8,
POL,Poland,80.2,15,#REF!,83.6,77.2,OECD,37846605 ,80.2,64.65,66.3,71.2,
HRV,Croatia,80.4,14,#REF!,84.8,71.4,E. Europe & C. Asia,4105268 ,80.4,64.44,63.4,63.6,
